numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer
29021001,20140101010000,20140101010359,279.750000,282.350000,mq,mq,84,mq,mq,200,5.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100160,100380
29021001,20140101020000,20140101020405,279.050000,282.550000,282.550000,282.250000,79,84,79,190,6.700000,200,6.900000,200,11.100000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100080,100300
29021001,20140101030000,20140101030309,279.750000,283.250000,283.250000,282.550000,79,82,79,190,7.600000,180,8.100000,200,14.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99980,100200
29021001,20140101040000,20140101040314,280.250000,283.350000,283.350000,283.150000,81,81,78,180,7.700000,180,8.000000,190,12.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99840,100060
29021001,20140101050000,20140101050319,280.550000,282.650000,283.250000,282.650000,87,88,81,180,8.800000,180,9.200000,180,17.400000,1.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99690,99910
29021001,20140101060000,20140101060324,281.050000,282.650000,282.650000,282.450000,90,91,86,170,9.000000,180,10.400000,190,17.400000,1.800000,mq,mq,mq,mq,2000,mq,mq,8,mq,mq,99480,99700
29021001,20140101070000,20140101070329,281.950000,283.150000,283.150000,282.650000,92,92,90,180,10.300000,180,10.400000,190,18.600000,3.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99290,99500
29021001,20140101080000,20140101080333,282.750000,283.850000,283.850000,283.150000,93,93,92,170,10.000000,170,10.900000,180,19.400000,2.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99060,99270
29021001,20140101090000,20140101090338,283.650000,284.550000,284.550000,283.950000,94,94,93,190,12.600000,180,13.100000,200,23.100000,2.400000,mq,mq,mq,mq,1500,mq,mq,8,mq,mq,98990,99200
29021001,20140101100000,20140101100343,283.850000,284.950000,284.950000,284.550000,93,94,93,200,13.300000,190,13.600000,210,24.400000,1.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98930,99140
29021001,20140101110000,20140101110348,284.050000,284.950000,285.050000,284.950000,94,94,93,190,10.800000,200,13.800000,200,25.000000,2.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98860,99070
29021001,20140101120000,20140101120353,283.750000,285.050000,285.150000,284.950000,92,94,92,200,11.000000,190,14.200000,190,24.500000,2.900000,mq,mq,mq,mq,1500,mq,mq,8,mq,mq,98730,98940
29021001,20140101130000,20140101130359,283.150000,284.950000,285.050000,284.550000,89,92,89,200,9.200000,200,12.400000,210,24.100000,1.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98600,98810
29021001,20140101140000,20140101140304,284.250000,285.850000,285.850000,284.850000,90,91,89,200,10.500000,200,10.500000,200,20.900000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98500,98710
29021001,20140101150000,20140101150409,283.750000,286.250000,286.250000,285.950000,85,90,85,210,11.100000,200,11.400000,210,19.800000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98470,98680
29021001,20140101160000,20140101160314,283.850000,285.650000,286.250000,285.650000,89,89,85,210,9.600000,210,11.300000,210,18.400000,0.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98480,98690
29021001,20140101170000,20140101170319,281.550000,283.950000,285.650000,283.950000,85,89,85,200,7.900000,210,9.700000,220,17.800000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98420,98630
29021001,20140101180000,20140101180325,281.050000,283.450000,283.950000,283.350000,85,87,85,200,8.200000,200,8.700000,210,13.500000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98450,98660
29021001,20140101190000,20140101190330,280.750000,283.550000,283.850000,283.450000,83,86,83,210,8.700000,210,10.200000,200,16.100000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98510,98720
29021001,20140101200000,20140101200336,280.450000,283.250000,283.550000,283.050000,83,83,79,210,7.800000,220,9.400000,220,16.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98520,98730
29021001,20140101210000,20140101210341,281.050000,283.650000,283.650000,283.250000,84,84,80,200,8.000000,220,8.400000,230,18.300000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98550,98760
29021001,20140101220000,20140101220347,280.950000,282.850000,283.550000,282.150000,88,88,83,210,7.000000,230,12.300000,210,21.200000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98550,98760
29021001,20140101230000,20140101230353,281.150000,283.750000,284.050000,282.750000,84,91,83,270,12.500000,260,13.400000,260,18.200000,1.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98700,98910
