numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer,
29293001,20140101000000,20140101000555,280.250000,283.950000,283.950000,283.650000,78,80,73,210,7.000000,210,7.200000,210,12.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101010000,20140101010559,280.350000,284.050000,284.050000,283.950000,78,79,74,210,5.700000,210,6.900000,210,12.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101020000,20140101021605,280.450000,283.750000,284.050000,283.650000,80,80,76,200,7.100000,200,7.300000,200,13.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101030000,20140101030609,279.850000,283.950000,283.950000,283.250000,76,82,75,190,7.000000,190,7.700000,180,14.600000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101040000,20140101040614,281.150000,284.150000,284.150000,283.950000,82,82,72,180,7.500000,190,8.600000,200,14.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101050000,20140101050519,281.650000,283.750000,284.150000,283.750000,87,87,78,190,6.900000,190,8.400000,180,13.600000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101060000,20140101060524,282.550000,283.650000,283.750000,283.250000,93,94,86,170,8.700000,170,8.700000,180,15.100000,1.400000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101070000,20140101070529,282.750000,283.850000,283.850000,283.650000,93,93,91,180,8.100000,170,10.000000,170,20.000000,2.800000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101080000,20140101080533,283.250000,284.150000,284.150000,283.850000,94,95,92,180,10.000000,180,10.000000,190,17.800000,2.300000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101090000,20140101090538,283.550000,284.450000,284.450000,284.150000,94,96,93,180,11.300000,180,11.600000,170,19.300000,2.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101100000,20140101100543,283.650000,284.750000,284.750000,284.450000,93,95,93,180,12.300000,180,12.300000,180,20.200000,1.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,11000.000000,mq,mq,
29293001,20140101110000,20140101110548,283.850000,284.750000,284.750000,284.650000,94,96,93,180,11.100000,180,12.400000,200,20.800000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,0,72000.000000,mq,mq,
29293001,20140101120000,20140101120554,283.650000,284.550000,284.750000,284.550000,94,94,92,180,12.700000,180,12.700000,180,22.600000,2.600000,mq,mq,mq,mq,mq,mq,mq,mq,0,80000.000000,mq,mq,
29293001,20140101130000,20140101130559,283.950000,284.550000,284.550000,284.450000,96,96,93,180,12.700000,180,13.500000,190,23.200000,3.600000,mq,mq,mq,mq,mq,mq,mq,mq,0,82000.000000,mq,mq,
29293001,20140101140000,20140101140604,284.250000,285.050000,285.050000,283.750000,95,97,90,210,9.700000,190,12.900000,190,22.300000,8.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,30000.000000,mq,mq,
29293001,20140101150000,20140101151010,283.950000,285.050000,285.050000,284.250000,93,96,91,190,9.200000,210,9.600000,210,15.600000,1.200000,mq,mq,mq,mq,mq,mq,mq,mq,0,117000.000000,mq,mq,
29293001,20140101160000,20140101160614,283.850000,285.250000,285.250000,284.650000,91,93,90,200,8.600000,200,9.200000,180,15.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,11,171000.000000,mq,mq,
29293001,20140101170000,20140101170519,283.450000,285.550000,285.550000,285.150000,87,93,85,200,9.400000,200,9.500000,200,16.900000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,3,18000.000000,mq,mq,
29293001,20140101180000,20140101180524,282.450000,283.850000,285.550000,283.850000,91,91,84,210,6.200000,210,10.500000,190,18.700000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101190000,20140101190530,281.450000,283.850000,283.850000,283.550000,85,93,85,210,6.700000,210,7.600000,210,12.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101200000,20140101200536,281.850000,284.650000,284.650000,283.850000,83,89,79,210,6.100000,220,7.600000,220,12.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101210000,20140101210541,281.350000,284.650000,284.650000,283.850000,80,88,80,210,6.900000,220,7.500000,200,13.400000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101220000,20140101220548,281.950000,284.750000,284.850000,284.650000,83,83,79,200,9.200000,200,9.500000,200,15.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140101230000,20140101230553,281.150000,283.950000,284.650000,283.750000,83,92,82,250,9.700000,220,10.900000,230,19.100000,1.400000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102000000,20140102000557,281.150000,283.550000,284.050000,283.550000,85,88,84,260,7.100000,250,9.500000,240,14.800000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102010000,20140102011804,280.650000,283.550000,283.550000,283.350000,82,87,82,250,7.200000,260,7.300000,260,12.400000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102020000,20140102020608,280.150000,283.050000,283.550000,283.050000,82,83,78,250,5.300000,250,7.200000,270,11.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102030000,20140102030513,279.850000,282.550000,283.250000,282.550000,83,84,76,260,7.300000,250,7.300000,260,12.200000,0.400000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102040000,20140102040617,280.050000,282.950000,282.950000,282.250000,82,83,80,240,5.100000,260,7.400000,250,9.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102050000,20140102050522,278.650000,282.250000,283.350000,282.050000,78,85,75,260,5.300000,250,6.800000,280,12.600000,1.000000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102060000,20140102060527,279.150000,281.150000,282.550000,281.150000,87,87,79,260,2.200000,250,5.100000,230,6.800000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
29293001,20140102070000,20140102070532,279.950000,281.450000,281.450000,280.050000,90,94,87,270,3.300000,270,3.300000,250,7.200000,0.800000,mq,mq,mq,mq,mq,mq,mq,mq,0,0.000000,mq,mq,
