numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer,
56017003,20140101000000,20140101000555,278.850000,280.250000,280.750000,280.150000,91,92,89,210,2.700000,220,4.400000,210,7.700000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101010000,20140101010559,279.550000,280.750000,280.750000,280.250000,92,92,91,210,2.100000,230,3.700000,230,6.100000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101020000,20140101020605,279.350000,280.850000,280.850000,280.450000,90,93,90,210,3.100000,200,3.100000,200,5.800000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101030000,20140101030609,279.350000,281.050000,281.150000,280.850000,89,90,86,200,3.400000,200,3.900000,200,7.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101040000,20140101040614,279.550000,281.950000,281.950000,281.050000,85,90,85,190,4.400000,190,4.600000,190,9.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101050000,20140101050519,279.650000,282.550000,282.550000,281.950000,82,85,82,200,6.200000,200,6.200000,210,11.800000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101060000,20140101060524,280.150000,282.750000,282.750000,282.450000,84,85,82,190,6.500000,190,6.700000,210,12.400000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101070000,20140101070529,281.450000,282.550000,282.750000,282.350000,93,93,84,190,6.800000,190,7.200000,200,14.400000,0.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101080000,20140101080533,282.150000,282.950000,282.950000,282.550000,95,95,93,200,8.500000,200,8.500000,200,16.300000,2.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101090000,20140101090538,282.250000,283.050000,283.050000,282.950000,95,95,95,200,8.400000,200,9.200000,190,18.800000,2.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101100000,20140101100543,282.750000,283.350000,283.350000,283.050000,96,96,95,200,8.800000,200,10.000000,180,20.600000,3.300000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101110000,20140101110548,282.950000,283.550000,283.650000,283.350000,96,96,96,200,9.700000,200,10.000000,200,20.400000,4.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101120000,20140101120554,282.550000,283.350000,283.550000,283.350000,95,97,95,200,10.200000,200,11.100000,210,22.300000,3.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101130000,20140101130559,282.550000,283.350000,283.550000,283.350000,95,96,94,190,9.300000,200,11.700000,200,21.500000,4.900000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101140000,20140101140604,282.950000,283.550000,283.550000,283.350000,96,96,95,200,10.200000,200,11.300000,220,20.600000,5.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101150000,20140101150509,283.350000,283.950000,283.950000,283.650000,96,96,96,220,8.800000,200,10.500000,190,22.300000,4.700000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101160000,20140101160614,283.050000,283.650000,284.050000,283.650000,96,97,95,220,5.900000,210,9.200000,220,18.400000,10.900000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101170000,20140101170519,283.550000,284.450000,284.450000,283.450000,94,97,94,210,9.000000,210,9.000000,210,17.500000,2.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101180000,20140101180524,283.350000,284.250000,284.550000,283.950000,94,95,92,220,8.300000,230,9.800000,230,19.200000,4.700000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101190000,20140101190530,281.850000,284.250000,284.650000,284.250000,85,95,85,220,7.400000,210,9.800000,220,21.800000,1.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101200000,20140101200536,281.250000,282.650000,284.150000,282.650000,91,91,86,220,5.000000,220,7.600000,240,12.900000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101210000,20140101210541,282.150000,283.250000,283.350000,282.650000,93,95,92,210,5.700000,210,5.800000,230,10.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101220000,20140101220548,281.950000,283.550000,283.550000,282.950000,90,93,90,220,5.500000,220,5.800000,220,11.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140101230000,20140101230553,281.450000,283.550000,283.950000,283.550000,87,89,84,220,8.600000,220,8.600000,230,15.500000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102000000,20140102000557,281.150000,283.250000,283.550000,283.250000,87,92,87,260,6.600000,220,8.600000,220,18.400000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102010000,20140102010603,281.150000,282.550000,283.250000,282.550000,91,91,85,260,5.100000,260,7.100000,240,16.000000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102020000,20140102020608,280.550000,282.150000,282.650000,282.050000,90,91,89,250,3.600000,250,5.800000,250,10.400000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102030000,20140102030513,280.050000,281.750000,282.150000,281.550000,89,91,89,250,4.200000,250,4.200000,260,8.100000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102040000,20140102040617,279.950000,281.050000,281.750000,280.850000,93,93,88,240,3.200000,250,4.400000,250,7.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102050000,20140102050522,279.450000,280.850000,281.250000,280.750000,91,93,88,240,3.500000,240,4.700000,240,9.000000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102060000,20140102060527,278.950000,280.650000,281.150000,280.650000,89,91,87,240,3.700000,250,4.900000,250,10.300000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102070000,20140102070532,278.450000,280.450000,280.850000,280.350000,87,89,86,240,3.900000,250,4.700000,240,7.400000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102080000,20140102080536,277.950000,278.950000,280.450000,278.950000,93,93,87,200,1.500000,240,3.800000,220,5.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102090000,20140102090541,279.650000,280.250000,280.250000,278.950000,96,96,93,200,1.700000,190,1.900000,190,2.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102100000,20140102100545,280.650000,282.050000,282.050000,280.250000,91,96,90,210,2.100000,210,2.100000,220,4.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102110000,20140102110650,281.350000,283.750000,283.850000,282.050000,85,91,85,200,3.100000,200,3.100000,190,5.600000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
56017003,20140102120000,20140102120554,281.750000,284.350000,284.650000,283.750000,84,86,82,210,4.400000,210,4.600000,210,9.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
