numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer
56069001,20140101000000,20140101000354,279.950000,282.150000,283.750000,281.650000,86,86,74,230,8.700000,240,11.700000,230,19.400000,2.000000,mq,mq,mq,mq,20000,1,mq,2,mq,mq,mq,mq
56069001,20140101010000,20140101010359,280.550000,283.150000,283.350000,282.250000,84,88,78,220,10.600000,230,11.700000,230,16.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101020000,20140101020405,279.550000,282.650000,283.450000,282.650000,81,85,80,230,8.200000,220,11.400000,230,17.600000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101030000,20140101030309,280.450000,283.550000,283.650000,282.750000,81,84,80,200,12.100000,200,12.100000,200,17.200000,0.000000,mq,mq,mq,mq,20000,1,mq,2,mq,mq,mq,mq
56069001,20140101040000,20140101040314,280.950000,283.950000,283.950000,283.550000,82,84,81,190,12.900000,190,13.300000,200,17.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101050000,20140101050319,281.350000,283.950000,283.950000,283.850000,84,84,79,190,12.200000,200,13.200000,200,18.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101060000,20140101060324,282.350000,283.550000,283.950000,283.350000,92,92,84,180,12.000000,180,13.000000,200,18.000000,0.400000,mq,mq,mq,mq,15000,1,mq,8,mq,mq,mq,mq
56069001,20140101070000,20140101070329,282.950000,283.750000,283.750000,283.550000,95,95,92,190,14.400000,200,14.900000,200,21.700000,2.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101080000,20140101080333,282.950000,283.750000,283.850000,283.650000,95,96,95,190,17.000000,190,17.400000,200,24.700000,1.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101090000,20140101090338,283.450000,284.050000,284.050000,283.750000,96,96,95,190,16.100000,190,17.200000,190,24.000000,1.800000,mq,mq,mq,mq,4000,mq,mq,8,mq,mq,mq,mq
56069001,20140101100000,20140101100343,283.650000,284.150000,284.150000,284.050000,97,97,96,190,17.300000,190,18.100000,190,24.400000,1.300000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101110000,20140101110349,283.650000,284.250000,284.250000,284.150000,96,97,96,190,19.000000,200,19.600000,190,27.300000,1.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101120000,20140101120353,283.550000,284.150000,284.350000,284.150000,96,96,96,190,19.400000,190,19.600000,190,27.500000,1.600000,mq,mq,mq,mq,7000,2,mq,8,mq,mq,mq,mq
56069001,20140101130000,20140101130359,283.550000,284.150000,284.150000,284.050000,96,96,95,190,20.100000,190,20.700000,180,28.700000,2.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101140000,20140101140304,284.050000,284.650000,284.650000,284.150000,96,97,96,200,21.200000,190,21.700000,200,30.200000,1.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101150000,20140101150409,283.850000,284.450000,284.650000,284.450000,96,96,96,210,14.700000,200,20.900000,210,28.700000,3.200000,mq,mq,mq,mq,5000,2,mq,8,mq,mq,mq,mq
56069001,20140101160000,20140101160314,284.350000,284.850000,284.850000,283.750000,97,98,96,210,14.300000,210,15.400000,210,24.200000,2.700000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101170000,20140101170319,283.450000,285.050000,285.250000,284.850000,90,97,89,220,15.200000,210,19.000000,220,26.700000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101180000,20140101180325,283.150000,284.450000,285.250000,284.450000,92,94,88,230,16.200000,220,17.300000,210,25.300000,1.200000,mq,mq,mq,mq,10000,2,mq,8,mq,mq,mq,mq
56069001,20140101190000,20140101190330,282.350000,283.750000,284.150000,283.450000,91,91,85,230,11.000000,230,15.900000,250,20.900000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101200000,20140101200336,282.450000,284.150000,284.450000,283.850000,89,91,87,220,10.400000,230,12.300000,230,16.900000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101210000,20140101210341,282.250000,284.150000,284.350000,284.150000,88,89,83,220,10.800000,230,14.000000,230,19.400000,-0.100000,mq,mq,mq,mq,15000,1,mq,3,mq,mq,mq,mq
56069001,20140101220000,20140101220347,281.850000,284.450000,284.450000,284.150000,84,89,83,220,13.500000,220,13.500000,210,20.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140101230000,20140101230353,282.150000,284.550000,284.550000,284.050000,85,88,84,250,15.900000,230,19.300000,230,26.600000,0.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102000000,20140102000357,281.550000,283.950000,284.650000,283.950000,85,85,81,260,13.500000,250,16.300000,260,24.600000,0.400000,mq,mq,mq,mq,10000,1,mq,8,mq,mq,mq,mq
56069001,20140102010000,20140102010403,281.050000,283.250000,283.850000,283.150000,86,88,83,260,11.900000,260,14.400000,280,23.100000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102020000,20140102020308,280.850000,283.750000,283.750000,283.150000,82,85,79,260,10.600000,270,13.700000,270,19.800000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102030000,20140102030313,280.050000,283.350000,283.950000,282.950000,80,85,80,250,10.300000,250,11.800000,260,16.900000,-0.100000,mq,mq,mq,mq,10000,1,mq,8,mq,mq,mq,mq
56069001,20140102040000,20140102040417,278.050000,282.650000,283.850000,282.650000,73,83,72,280,13.000000,280,13.100000,280,18.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102050000,20140102050322,280.350000,283.850000,283.850000,282.650000,79,81,74,260,8.700000,280,12.600000,270,15.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102060000,20140102060327,279.950000,283.250000,283.850000,283.250000,80,82,72,250,7.600000,250,9.800000,240,14.800000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102070000,20140102070332,281.150000,283.750000,283.850000,283.150000,84,84,77,250,8.700000,250,8.700000,250,12.800000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102080000,20140102080336,280.550000,283.850000,283.850000,283.750000,80,83,80,250,7.700000,250,9.200000,250,13.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102090000,20140102090340,281.250000,283.850000,283.850000,283.650000,84,84,80,230,7.200000,250,7.900000,250,10.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102100000,20140102100345,281.450000,284.450000,284.650000,283.750000,82,84,82,230,9.500000,230,9.500000,230,12.600000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102110000,20140102110350,281.750000,285.050000,285.550000,284.350000,80,83,79,220,7.400000,230,9.500000,230,11.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102120000,20140102120354,282.350000,285.550000,285.850000,284.750000,81,84,80,210,7.800000,210,8.700000,200,11.600000,0.000000,mq,mq,mq,mq,20000,1,mq,5,mq,mq,mq,mq
56069001,20140102130000,20140102130300,282.650000,284.950000,286.250000,284.950000,86,86,81,210,8.200000,210,9.600000,210,13.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102140000,20140102140406,282.750000,284.850000,285.350000,284.850000,87,88,85,200,7.600000,210,8.200000,200,11.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102150000,20140102150311,283.150000,285.050000,285.250000,284.850000,88,88,86,200,9.200000,200,9.200000,200,13.400000,0.000000,mq,mq,mq,mq,20000,1,mq,6,mq,mq,mq,mq
56069001,20140102160000,20140102160315,283.150000,284.550000,285.050000,284.450000,91,91,88,190,8.200000,200,9.200000,210,12.600000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102170000,20140102170320,283.150000,284.550000,284.550000,284.450000,91,92,90,190,9.500000,190,10.100000,180,13.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102180000,20140102180324,283.650000,284.750000,284.850000,284.550000,93,93,91,190,10.500000,190,10.900000,180,14.600000,-0.100000,mq,mq,mq,mq,12000,1,mq,8,mq,mq,mq,mq
56069001,20140102190000,20140102190333,283.350000,284.450000,284.750000,284.450000,93,93,91,180,13.600000,190,13.600000,190,18.500000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102200000,20140102200338,283.650000,284.250000,284.550000,284.150000,96,96,93,180,14.700000,180,15.800000,170,21.600000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102210000,20140102210342,283.550000,284.050000,284.250000,283.950000,97,97,97,180,17.300000,180,18.200000,180,26.200000,1.000000,mq,mq,mq,mq,5000,mq,mq,8,mq,mq,mq,mq
56069001,20140102220000,20140102220347,284.250000,284.550000,284.550000,284.050000,98,98,97,190,14.600000,180,17.500000,170,23.300000,0.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140102230000,20140102230352,284.350000,284.850000,284.950000,284.550000,97,98,97,210,10.300000,190,14.700000,190,20.300000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103000000,20140103000357,284.350000,284.950000,284.950000,284.750000,96,97,96,220,10.500000,220,10.800000,210,14.900000,-0.100000,mq,mq,mq,mq,10000,2,mq,8,mq,mq,mq,mq
56069001,20140103010000,20140103010402,283.850000,284.650000,284.950000,284.650000,95,96,95,230,11.400000,230,11.600000,220,15.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103020000,20140103020307,282.850000,284.450000,284.650000,284.450000,90,94,90,230,10.500000,230,11.600000,230,16.200000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103030000,20140103030312,283.350000,284.650000,284.650000,284.450000,92,92,90,210,11.300000,210,11.300000,210,15.300000,0.000000,mq,mq,mq,mq,10000,2,mq,8,mq,mq,mq,mq
56069001,20140103040000,20140103040316,283.350000,284.950000,284.950000,284.650000,90,92,90,220,11.900000,220,12.200000,230,18.600000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103050000,20140103050320,282.650000,285.050000,285.050000,284.950000,85,90,85,220,12.500000,220,13.900000,220,19.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103060000,20140103060326,281.550000,285.050000,285.150000,284.950000,79,86,79,230,15.500000,230,16.700000,230,23.300000,0.000000,mq,mq,mq,mq,12000,mq,mq,8,mq,mq,mq,mq
56069001,20140103070000,20140103070331,281.250000,284.750000,285.050000,284.550000,79,80,77,230,14.300000,230,15.000000,230,21.000000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103080000,20140103080336,282.250000,284.650000,284.750000,284.550000,85,85,78,220,11.100000,230,14.100000,230,19.000000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103090000,20140103090340,282.150000,284.750000,284.750000,284.650000,84,85,82,220,11.000000,230,12.700000,230,17.800000,0.000000,mq,mq,mq,mq,10000,2,mq,8,mq,mq,mq,mq
56069001,20140103100000,20140103100345,280.850000,283.250000,284.750000,282.050000,85,94,81,240,12.400000,240,12.700000,230,20.000000,3.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103110000,20140103110350,279.750000,284.450000,284.450000,283.250000,73,86,71,250,13.000000,240,14.100000,240,21.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103120000,20140103120355,279.850000,284.550000,284.950000,284.250000,73,76,68,240,13.300000,250,14.700000,240,21.500000,0.000000,mq,mq,mq,mq,15000,2,mq,5,mq,mq,mq,mq
56069001,20140103130000,20140103130300,277.250000,284.550000,284.850000,284.350000,61,74,59,250,18.800000,250,19.000000,240,27.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103140000,20140103140405,279.550000,284.450000,284.550000,284.250000,72,72,61,240,14.400000,250,18.900000,250,23.800000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
56069001,20140103150000,20140103150310,277.950000,284.550000,284.650000,284.350000,64,73,63,240,15.800000,250,17.000000,250,24.500000,0.000000,mq,mq,mq,mq,15000,2,mq,3,mq,mq,mq,mq
